age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
35,42,172,188,0,3,23
47,62,175,190,1,0,21
32,40,178,190,2,3,27
24,31,170,180,0,3,13
20,50,160,190,0,0,6
32,45,170,176,0,0,22
25,30,178,185,3,3,5
27,28,175,178,0,3,13
26,37,170,185,1,3,20
33,46,175,185,0,3,23
38,45,170,190,0,3,23
60,68,170,180,0,0,3
23,42,155,190,0,0,6
45,55,175,180,1,0,21
21,28,170,178,2,3,5
25,40,170,190,2,3,5
24,41,130,260,0,0,2
24,66,130,260,0,0,11
20,50,160,190,2,0,10
27,33,172,180,1,3,20
38,45,170,184,2,0,10
42,53,170,180,1,0,18
26,32,173,185,4,3,4
44,53,170,180,1,1,18
26,30,170,180,2,3,5
18,20,170,175,0,3,13
21,28,175,180,0,0,7
24,38,130,260,0,0,2
32,38,178,185,2,3,27
20,50,160,190,0,0,6
21,30,165,190,1,3,20
33,46,171,188,2,1,10
42,54,177,260,1,0,12
38,50,173,182,2,1,10
55,65,170,180,2,1,15
39,50,170,190,2,0,1
23,30,175,185,4,3,4
20,50,160,190,0,0,6
20,50,160,190,0,0,6
45,55,130,260,0,0,28
20,50,160,190,0,0,6
20,50,160,190,0,0,6
27,35,174,189,1,3,20
58,68,170,180,1,0,14
43,83,173,185,0,1,3
27,52,173,200,5,3,4
20,50,160,190,0,0,6
27,35,170,186,1,3,20
40,50,175,180,0,0,0
24,30,170,178,0,0,7
34,45,162,185,0,1,25
24,35,169,190,2,3,5
50,60,168,180,2,0,1
40,45,170,180,0,0,0
25,30,175,186,2,3,5
27,32,172,182,0,1,25
35,55,165,185,1,0,18
20,50,160,190,0,0,6
58,70,160,185,1,0,14
53,58,165,190,0,0,3
24,39,130,260,0,0,2
20,50,160,190,0,0,6
24,64,130,260,0,0,11
24,39,130,260,0,0,2
24,31,173,183,2,3,5
27,45,168,178,0,0,22
25,29,170,175,2,3,5
21,28,168,172,0,0,7
18,83,170,190,1,0,9
35,45,170,190,2,1,10
40,55,171,185,2,0,1
24,31,167,190,1,3,20
46,58,172,180,1,0,21
46,58,170,182,1,0,21
30,40,176,193,2,3,27
24,27,178,180,0,3,13
28,34,172,185,1,3,20
37,44,172,185,1,3,8
40,45,170,180,1,0,18
24,31,170,190,0,0,7
35,46,170,182,0,0,22
30,40,170,185,0,3,23
37,44,168,190,1,0,18
28,36,173,185,2,0,10
40,49,172,190,0,0,0
32,46,168,186,1,3,8
58,63,170,178,1,0,21
31,51,170,190,0,0,22
45,57,168,180,1,0,21
46,62,167,182,1,0,21
24,26,170,178,2,3,5
28,46,175,189,2,0,10
32,43,172,188,0,3,23
23,28,160,190,0,0,7
30,42,174,190,1,3,8
30,38,172,180,1,3,8
25,30,170,180,0,3,13
35,52,160,180,0,0,0
24,28,168,175,2,3,5
18,83,180,260,1,3,19
30,40,175,180,0,0,22
25,29,178,185,2,3,5
25,30,172,178,2,3,5
42,53,172,190,0,1,0
24,41,130,260,0,0,2
24,41,130,260,0,0,2
26,30,170,190,1,3,20
43,83,160,190,0,0,3
56,59,170,190,1,0,21
46,56,165,175,1,0,21
21,26,160,190,0,0,7
30,40,165,180,1,1,25
45,50,170,178,2,0,1
28,38,170,185,2,3,27
18,25,182,192,2,3,5
48,55,167,180,0,0,0
24,42,130,260,0,0,2
25,30,175,180,2,3,5
35,83,165,180,1,3,9
36,43,172,180,2,1,10
30,37,170,180,2,3,27
36,42,170,175,1,3,8
31,40,170,192,1,3,8
